"","id","food","starve","total_distance","stops"
"1","317","diet",0,19.1714799874453,57
"2","318","diet",0,11.4559845727624,40
"3","319","diet",0,193.047804910241,18
"4","320","diet",0,18.4679637935771,26
"5","322","diet",0,27.7640024395304,62
"6","323","diet",0,48.783740050474,96
"7","325","diet",0,78.0528173037911,150
"8","326","diet",0,68.8619015695287,104
"9","329","diet",0,126.08026736459,50
"10","331","diet",0,83.1050713998906,124
"11","333","diet",0,245.905860356499,19
"12","336","diet",0,61.4016807872751,69
"13","338","diet",0,54.6596489248002,130
"14","339","diet",0,188.293409193933,26
"15","340","diet",0,65.6788634307332,54
"16","341","diet",0,91.4375998222151,108
"17","342","diet",48,36.5873915938332,32
"18","343","diet",48,122.625643175669,42
"19","344","diet",48,147.297180710092,55
"20","345","diet",48,157.848756452939,16
"21","347","diet",48,273.453706728753,11
"22","349","diet",48,386.405563047529,2
"23","351","diet",48,108.797938121225,83
"24","352","diet",48,79.4383949581842,150
"25","353","diet",48,103.375862012502,70
"26","354","diet",48,359.128933494128,19
"27","355","diet",48,205.096342166598,34
"28","356","diet",48,161.019550648203,53
"29","357","diet",48,350.012402924114,27
"30","358","diet",48,282.08673642078,34
"31","359","diet",48,238.641889696061,34
"32","360","diet",48,309.513723875641,24
"33","361","diet",48,239.45845324491,20
"34","362","diet",48,57.7834805411462,88
"35","364","diet",24,323.263237891361,34
"36","365","diet",24,61.8581651372473,60
"37","366","diet",24,119.029926707293,42
"38","367","diet",24,67.2073174593054,50
"39","368","diet",24,91.702463727196,42
"40","369","diet",24,90.7752540774695,53
"41","370","diet",24,75.6059412627755,48
"42","371","diet",24,142.018110830894,50
"43","372","diet",24,141.829587504118,42
"44","373","diet",24,39.2751794190631,17
"45","374","diet",24,47.2803425625677,26
"46","375","diet",24,93.6290186517646,39
"47","377","diet",24,15.9497025912633,15
"48","378","diet",24,17.6215023657026,10
"49","379","diet",24,57.5298113166557,32
"50","380","diet",24,12.8743320587513,15
"51","381","diet",24,95.3563230390397,19
"52","384","diet",24,185.91516538419,10
"53","386","diet",0,41.9502526417748,84
"54","387","diet",0,80.2014626787299,79
"55","388","diet",0,41.0083009667486,93
"56","389","diet",24,285.724451106782,31
"57","390","diet",24,180.557503651259,37
"58","391","diet",48,10.926465432688,10
"59","392","diet",48,48.2865634453213,4
"60","394","diet",48,205.951329625394,22
"61","397","diet",0,109.734126915322,55
"62","403","buroak",0,252.407654984718,24
"63","428","buroak",0,47.2240444313796,47
"64","435","buroak",0,48.5944824619801,45
"65","441","buroak",0,274.005748517824,57
"66","442","buroak",0,323.536680945811,41
"67","443","buroak",24,273.767271894965,45
"68","444","buroak",24,720.010862168266,18
"69","445","buroak",24,235.056971181094,46
"70","446","buroak",24,763.804215793288,16
"71","447","buroak",24,223.482337177585,62
"72","448","buroak",24,431.169762465264,13
"73","449","buroak",24,277.937175577695,53
"74","450","buroak",24,271.963174281601,34
"75","451","buroak",24,273.249302310056,41
"76","452","buroak",24,751.966572244822,3
"77","453","buroak",24,573.075462672273,8
"78","454","buroak",24,316.11954759052,29
"79","459","buroak",48,417.496176085557,13
"80","460","buroak",48,536.482067405411,5
"81","461","buroak",48,71.3740343521823,7
